Time, Eating, beenHit, Dead, Dancing, Pposx, Pposy, lastAct,Pvelx, Pvely, Prot, Mposx, Mposy, Mvelx, Mvely, Mrot, numFruit, PMdis, Meat, mDance
0.811812,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.880013,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.89678,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.913537,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.9303,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.947074,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.963872,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.980635,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
0.997394,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.01413,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.03091,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.04769,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.06447,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.08126,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.09803,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.11477,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.13155,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.14831,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.16505,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.18182,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.19859,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.21537,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
1.23213,0,0,0,0,80,20,Wander,0, 0,0,100,477,1.5e-07,-3,-4.0413,1,457.437,0,0
