to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
17th St & Castro St,Market St & Noe St,37.76257706,-122.43498230,37.76448822,-122.43281555
Market St & Noe St,Market St & Sanchez St,37.76448822,-122.43281555,37.76618576,-122.43070984
Market St & Sanchez St,Market St & Church St,37.76618576,-122.43070984,37.76770401,-122.42877960
Market St & Church St,Market St & Dolores St,37.76770401,-122.42877960,37.76887894,-122.42710114
Market St & Dolores St,Market St & Guerrero St,37.76887894,-122.42710114,37.77056885,-122.42497253
Market St & Guerrero St,Market St & Gough St,37.77056885,-122.42497253,37.77326965,-122.42176819
Market St & Gough St,Market St & South Van Ness Ave,37.77326965,-122.42176819,37.77505493,-122.41931915
Market St & South Van Ness Ave,Market St & 9th St,37.77505493,-122.41931915,37.77740860,-122.41634369
Market St & 9th St,Market St & 8th St,37.77740860,-122.41634369,37.77860641,-122.41482544
Market St & 8th St,Market St & 7th St,37.77860641,-122.41482544,37.77981186,-122.41318512
Market St & 7th St,Market St & 6th St,37.77981186,-122.41318512,37.78210068,-122.41040039
Market St & 6th St,Market St & 5th St,37.78210068,-122.41040039,37.78388596,-122.40814209
Market St & 5th St,Market St & 4th St,37.78388596,-122.40814209,37.78570557,-122.40584564
Market St & 4th St,Market St & 3rd St,37.78570557,-122.40584564,37.78752518,-122.40351868
Market St & 3rd St,Market St & New Montgomery St,37.78752518,-122.40351868,37.78861237,-122.40216064
Market St & New Montgomery St,Market St & 1st St,37.78861237,-122.40216064,37.79048538,-122.39971924
Market St & 1st St,Market St & Main St,37.79048538,-122.39971924,37.79298401,-122.39662933
Market St & Main St,Steuart St & Don Chee Way,37.79298401,-122.39662933,37.79376602,-122.39372253
Steuart St & Don Chee Way,The Embarcadero & Ferry Building,37.79376602,-122.39372253,37.79489136,-122.39355469
The Embarcadero & Ferry Building,The Embarcadero & Washington St,37.79489136,-122.39355469,37.79708481,-122.39566803
The Embarcadero & Washington St,The Embarcadero & Broadway,37.79708481,-122.39566803,37.79955292,-122.39786530
The Embarcadero & Broadway,The Embarcadero & Green St,37.79955292,-122.39786530,37.80126572,-122.39936829
The Embarcadero & Green St,The Embarcadero & Greenwich St,37.80126572,-122.39936829,37.80326462,-122.40111542
The Embarcadero & Greenwich St,The Embarcadero & Sansome St,37.80326462,-122.40111542,37.80502319,-122.40331268
The Embarcadero & Sansome St,The Embarcadero & Bay St,37.80502319,-122.40331268,37.80694580,-122.40628052
The Embarcadero & Bay St,The Embarcadero & Stockton St,37.80694580,-122.40628052,37.80834961,-122.41028595
The Embarcadero & Stockton St,Jefferson St & Powell St,37.80834961,-122.41028595,37.80859375,-122.41336060
Jefferson St & Powell St,Jefferson St & Taylor St,37.80859375,-122.41336060,37.80831909,-122.41551208
Jefferson St & Taylor St,Jones St & Beach St,37.80831909,-122.41551208,37.80713272,-122.41732025
Jones St & Beach St,Beach St & Mason St,37.80713272,-122.41732025,37.80740738,-122.41412354
Beach St & Mason St,Beach St & Stockton St,37.80740738,-122.41412354,37.80784225,-122.41081238
Beach St & Stockton St,The Embarcadero & Bay St,37.80784225,-122.41081238,37.80694580,-122.40628052
