RouteName, Coords
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.384 37.7377))"
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.382 37.7333))"
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.383 37.7347))"
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.384 37.7357))"
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.386 37.7366))"
Walking Distance, "MULTILINESTRING ((-122.384 37.736, -122.383 37.7333))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7325, -122.382 37.7333))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7325, -122.379 37.7316))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7325, -122.38 37.7335))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7325, -122.379 37.7311))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7325, -122.38 37.7342))"
Walking Distance, "MULTILINESTRING ((-122.384 37.7377, -122.386 37.739))"
Walking Distance, "MULTILINESTRING ((-122.384 37.7377, -122.384 37.736))"
Walking Distance, "MULTILINESTRING ((-122.384 37.7377, -122.386 37.7366))"
Walking Distance, "MULTILINESTRING ((-122.384 37.7377, -122.384 37.7357))"
Walking Distance, "MULTILINESTRING ((-122.384 37.7377, -122.383 37.7397))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.388 37.7424))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.384 37.7377))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.388 37.74))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.389 37.7401))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.389 37.7399))"
Walking Distance, "MULTILINESTRING ((-122.386 37.739, -122.385 37.7409))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.384 37.736))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.38 37.7325))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.383 37.7333))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.38 37.7335))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.383 37.7347))"
Walking Distance, "MULTILINESTRING ((-122.382 37.7333, -122.384 37.7325))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8048, -122.42 37.8028))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8048, -122.42 37.8056))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8048, -122.42 37.8058))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8048, -122.422 37.8056))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8048, -122.418 37.8055))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7965, -122.418 37.7954))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7965, -122.419 37.7974))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7965, -122.418 37.7956))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7965, -122.42 37.7953))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7965, -122.417 37.7958))"
Walking Distance, "MULTILINESTRING ((-122.421 37.8067, -122.42 37.8056))"
Walking Distance, "MULTILINESTRING ((-122.421 37.8067, -122.42 37.8058))"
