id, name, lat, long
0,Hudson Ave & Cashmere St,37.736,-122.384
1,Hudson Ave & Ingalls St,37.7325,-122.38
2,Hudson Ave & Keith St,37.7377,-122.384
3,Hudson Ave & Mendell St,37.739,-122.386
4,Hudson Ave & Whitney Young Cir,37.7333,-122.382
5,Hyde St & Bay St,37.8048,-122.42
6,Hyde St & Broadway,37.7965,-122.419
7,Hyde St & Beach St,37.8067,-122.421
8,Hyde St & California St,37.7911,-122.417
9,Hyde St & Chestnut St,37.8028,-122.42
10,Hyde St & Clay St,37.7929,-122.418
11,Hyde St & Filbert St,37.8002,-122.419
12,Hyde St & Grove St,37.7793,-122.415
13,Hyde St & Greenwich St,37.801,-122.419
14,Hyde St & Green St,37.7983,-122.419
15,Hyde St & Jackson St,37.7945,-122.418
16,Hyde St & Lombard St,37.8019,-122.42
17,Hyde St & McAllister St,37.7808,-122.415
18,Hyde St & North Point St,37.8056,-122.42
19,Hyde St & Pacific Ave,37.7954,-122.418
20,Hyde St & Pine St,37.7902,-122.417
21,Hyde St & Turk St,37.7826,-122.416
22,Hyde St & Union St,37.7992,-122.419
23,Hyde St & Vallejo St,37.7974,-122.419
24,Industrial St & Bayshore Blvd,37.7381,-122.407
25,Industrial St & Elmira St,37.7388,-122.404
26,Industrial St & Palou Ave,37.7396,-122.401
27,Industrial St & Revere Ave,37.7391,-122.403
28,Innes Ave & Earl St,37.7299,-122.372
29,Innes Ave & Arelious Walker Dr,37.7309,-122.374
30,Innes Ave & Fitch St,37.7309,-122.374
31,Innes Ave & Griffith St,37.732,-122.376
32,Innes Ave & Hunters Point Blvd,37.7329,-122.377
33,Ingalls St & Beatrice Ln,37.7306,-122.38
34,Ingalls St & Harbor Rd,37.7335,-122.38
35,Ingalls St & Revere Ave,37.7284,-122.385
36,Ingalls St & Thomas Ave,37.7273,-122.386
37,Ingalls St & Van Dyke Ave,37.726,-122.387
38,Ingerson Ave & Griffith St,37.717,-122.389
39,Ingerson Ave & Hawes St,37.718,-122.391
40,Irving St & 2nd Ave,37.7644,-122.459
41,Irving St & Arguello Blvd,37.7644,-122.458
42,515 John Muir Dr,37.7162,-122.495
43,655 John Muir Ave,37.717,-122.498
44,John Muir Dr & Skyline Blvd,37.719,-122.5
45,Junipero Serra Blvd & Brotherhood Way,37.7136,-122.471
46,Junipero Serra Blvd & S.F. Golf Club,37.7107,-122.471
47,Junipero Serra Blvd & Font Blvd,37.7146,-122.472
48,Junipero Serra Blvd & Ocean Ave,37.7314,-122.472
49,Junipero Serra Blvd & Palmetto Ave,37.7109,-122.471
50,Junipero Serra Blvd & Sloat Blvd,37.7343,-122.472
51,Jackson St & Divisadero St,37.7917,-122.441
52,Jackson St & Fillmore St,37.7925,-122.435
53,Jackson St & Hyde St,37.7946,-122.418
54,Jackson St & Jones St,37.795,-122.415
55,Jackson St & Leavenworth St,37.7949,-122.416
56,Jackson St & Mason St,37.7954,-122.412
57,Jackson St & Polk St,37.7942,-122.421
58,Jackson St & Scott St,37.7919,-122.439
59,Jackson St & Steiner St,37.7924,-122.436
60,Jackson St & Taylor St,37.7953,-122.413
61,Jackson St & Van Ness Ave,37.794,-122.423
62,Jackson St & Webster St,37.7927,-122.433
63,Juan Bautista Cir & Font Blvd,37.7187,-122.478
64,Judson Ave & Gennessee St,37.7284,-122.451
65,Jefferson St & Divisadero St,37.8046,-122.444
66,Jefferson St & Powell St,37.8086,-122.413
67,Jefferson St & Taylor St,37.8083,-122.416
68,Jones St & Beach St,37.8071,-122.417
69,Jones St & Geary St,37.7869,-122.413
70,Jones St & Post St,37.7878,-122.413
71,Jones St & Sutter St,37.7887,-122.414
72,Judah St & 5th Ave,37.7623,-122.462
73,Judah St & 6th Ave,37.7624,-122.463
74,Judah St & 7th Ave,37.7623,-122.464
75,Judah St & 9th Ave,37.7622,-122.467
76,Judah St & 12th Ave,37.7621,-122.469
77,Judah St & 15th Ave,37.7618,-122.473
78,Judah St & 16th Ave,37.7619,-122.474
79,Judah St & 19th Ave,37.7617,-122.477
80,Judah St & 22nd Ave,37.7615,-122.48
81,Judah St & 23rd Ave,37.7615,-122.481
82,Judah St & 25th Ave,37.7615,-122.483
83,Judah St & 28th Ave,37.7613,-122.487
84,Judah St & 31st Ave,37.7612,-122.49
85,Judah St & 34th Ave,37.761,-122.493
86,Judah St & 40th Ave,37.7607,-122.499
87,Judah St & 43rd Ave,37.7606,-122.503
88,Judah St & 46th Ave,37.7605,-122.506
89,Judah St & Funston Ave,37.7621,-122.47
90,Judah St & La Playa St,37.7604,-122.509
91,Judah St & Sunset Blvd,37.7609,-122.496
92,Kansas St & 23rd St,37.7544,-122.402
93,Kansas St & 25th St,37.7519,-122.402
94,Kansas St & 26th St,37.7508,-122.402
95,Keith St & Oakdale Ave,37.7326,-122.387
96,King St & 2nd St,37.7797,-122.39
97,King St & 4th St,37.7763,-122.394
98,Kiska Rd & Ingalls St,37.7311,-122.379
99,Laguna Honda Blvd & Clarendon Ave,37.7507,-122.461
100,Laguna Honda Blvd & Dewey Blvd,37.7472,-122.459
101,Laguna Honda Blvd/opp Forest Hill,37.7483,-122.459
102,Laguna Honda Blvd/Metro Forest Hill Station,37.7481,-122.459
103,Laguna Honda Blvd & Idora Ave,37.744,-122.456
104,7th Ave & Laguna Honda Blvd,37.7549,-122.464
105,Laguna Honda Blvd & Portola Dr,37.7431,-122.455
106,Laguna Honda Blvd & Ulloa St,37.7435,-122.456
107,Laguna Honda Blvd & Vasquez Ave,37.746,-122.458
108,Laguna St & Chestnut St,37.8015,-122.431
109,Laguna St & Hayes St,37.7768,-122.426
110,Legion of Honor Dr & Clement St,37.7817,-122.495
111,Lincoln Blvd & Bowley St,37.7884,-122.482
112,Lincoln Blvd & Pershing Dr,37.7921,-122.481
113,Lombard St & Divisadero St,37.799,-122.442
114,Lombard St & Fillmore St,37.7998,-122.436
115,Lombard St & Grant Ave,37.8035,-122.408
116,Lombard St & Kearny St,37.8037,-122.407
117,Lombard St & Laguna St,37.8005,-122.431
118,Lombard St & Lyon St,37.7985,-122.447
119,Lombard St & Pierce St,37.7994,-122.439
120,Lombard St & Stockton St,37.8033,-122.41
121,La Salle Ave & Ingalls St,37.7308,-122.381
122,La Salle Ave & Newcomb Ave,37.733,-122.385
123,La Salle Ave & Osceola Dr,37.7325,-122.384
124,Louisburg St & Geneva Ave,37.7216,-122.449
125,Louisburg St & Niagra Ave,37.7204,-122.45
126,Letterman Dr & Tide Bldg,37.7994,-122.452
127,Letterman Dr & Lincoln Blvd,37.7992,-122.452
128,Lincoln Way & 3rd Ave,37.7661,-122.46
129,Lincoln Way & 5th Ave,37.7662,-122.462
130,Lincoln Way & 9th Ave,37.766,-122.467
131,Lincoln Way & 15th Ave,37.7657,-122.473
132,Lincoln Way & 17th Ave,37.7656,-122.475
133,Lincoln Way & 19th Ave,37.7655,-122.478
134,Lincoln Way & 21st Ave,37.7654,-122.48
135,Lincoln Way & 25th Ave,37.7652,-122.484
136,Lincoln Way & 27th Ave,37.7651,-122.486
137,Lincoln Way & 29th Ave,37.765,-122.488
138,Lincoln Way & 30th Ave,37.7649,-122.489
139,Lincoln Way & 31st Ave,37.7649,-122.49
140,Lincoln Way & 33rd Ave,37.7648,-122.493
141,Lincoln Way & 35th Ave,37.7648,-122.495
142,Lincoln Way & 47th Ave,37.7642,-122.507
143,Lincoln Way & Arguello Blvd,37.766,-122.458
144,Lincoln Way & Funston Ave,37.7658,-122.471
145,Lincoln Way & Great Hwy,37.7641,-122.51
146,Lincoln Way & La Playa St,37.7639,-122.51
147,Lyell St & Alemany Blvd,37.7306,-122.431
148,Lyon St & Greenwich St,37.7974,-122.447
149,Main St & Howard St,37.7911,-122.394
150,Main St & Mission St,37.792,-122.395
151,Main St & Market St,37.7925,-122.396
152,Mansell St & Brussels St,37.7211,-122.403
153,Mansell St & Dartmouth St,37.7196,-122.409
154,Mansell St & Goettingen St,37.7207,-122.404
