to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
17th St & Castro St,Market St & Noe St,37.76259995,-122.43499756,37.76449966,-122.43299866
Market St & Noe St,Market St & Sanchez St,37.76449966,-122.43299866,37.76620102,-122.43099976
Market St & Sanchez St,Market St & Church St,37.76620102,-122.43099976,37.76770020,-122.42900085
Market St & Church St,Market St & Dolores St,37.76770020,-122.42900085,37.76890182,-122.42700195
Market St & Dolores St,Market St & Guerrero St,37.76890182,-122.42700195,37.77059937,-122.42500305
Market St & Guerrero St,Market St & Gough St,37.77059937,-122.42500305,37.77330017,-122.42199707
Market St & Gough St,Market St & South Van Ness Ave,37.77330017,-122.42199707,37.77510071,-122.41899872
Market St & South Van Ness Ave,Market St & 9th St,37.77510071,-122.41899872,37.77740097,-122.41600037
Market St & 9th St,Market St & 8th St,37.77740097,-122.41600037,37.77859879,-122.41500092
Market St & 8th St,Market St & 7th St,37.77859879,-122.41500092,37.77980042,-122.41300201
Market St & 7th St,Market St & 6th St,37.77980042,-122.41300201,37.78210068,-122.41000366
Market St & 6th St,Market St & 5th St,37.78210068,-122.41000366,37.78390121,-122.40799713
Market St & 5th St,Market St & 4th St,37.78390121,-122.40799713,37.78570175,-122.40599823
Market St & 4th St,Market St & 3rd St,37.78570175,-122.40599823,37.78749847,-122.40399933
Market St & 3rd St,Market St & New Montgomery St,37.78749847,-122.40399933,37.78860092,-122.40200043
Market St & New Montgomery St,Market St & 1st St,37.78860092,-122.40200043,37.79050064,-122.40000153
Market St & 1st St,Market St & Main St,37.79050064,-122.40000153,37.79299927,-122.39700317
Market St & Main St,Steuart St & Don Chee Way,37.79299927,-122.39700317,37.79380035,-122.39399719
Steuart St & Don Chee Way,The Embarcadero & Ferry Building,37.79380035,-122.39399719,37.79489899,-122.39399719
The Embarcadero & Ferry Building,The Embarcadero & Washington St,37.79489899,-122.39399719,37.79710007,-122.39600372
The Embarcadero & Washington St,The Embarcadero & Broadway,37.79710007,-122.39600372,37.79959869,-122.39800262
The Embarcadero & Broadway,The Embarcadero & Green St,37.79959869,-122.39800262,37.80130005,-122.39900208
The Embarcadero & Green St,The Embarcadero & Greenwich St,37.80130005,-122.39900208,37.80329895,-122.40100098
The Embarcadero & Greenwich St,The Embarcadero & Sansome St,37.80329895,-122.40100098,37.80500031,-122.40299988
The Embarcadero & Sansome St,The Embarcadero & Bay St,37.80500031,-122.40299988,37.80690002,-122.40599823
The Embarcadero & Bay St,The Embarcadero & Stockton St,37.80690002,-122.40599823,37.80830002,-122.41000366
The Embarcadero & Stockton St,Jefferson St & Powell St,37.80830002,-122.41000366,37.80860138,-122.41300201
Jefferson St & Powell St,Jefferson St & Taylor St,37.80860138,-122.41300201,37.80830002,-122.41600037
Jefferson St & Taylor St,Jones St & Beach St,37.80830002,-122.41600037,37.80709839,-122.41699982
Jones St & Beach St,Beach St & Mason St,37.80709839,-122.41699982,37.80739975,-122.41400146
Beach St & Mason St,Beach St & Stockton St,37.80739975,-122.41400146,37.80780029,-122.41100311
Beach St & Stockton St,The Embarcadero & Bay St,37.80780029,-122.41100311,37.80690002,-122.40599823
The Embarcadero & Bay St,The Embarcadero & Sansome St,37.80690002,-122.40599823,37.80500031,-122.40299988
The Embarcadero & Sansome St,The Embarcadero & Greenwich St,37.80500031,-122.40299988,37.80329895,-122.40100098
The Embarcadero & Greenwich St,The Embarcadero & Green St,37.80329895,-122.40100098,37.80130005,-122.39900208
The Embarcadero & Green St,The Embarcadero & Broadway,37.80130005,-122.39900208,37.79959869,-122.39800262
The Embarcadero & Broadway,The Embarcadero & Washington St,37.79959869,-122.39800262,37.79710007,-122.39600372
The Embarcadero & Washington St,The Embarcadero & Ferry Building,37.79710007,-122.39600372,37.79489899,-122.39399719
The Embarcadero & Ferry Building,Steuart St & Don Chee Way,37.79489899,-122.39399719,37.79380035,-122.39399719
Steuart St & Don Chee Way,Market St & Drumm St,37.79380035,-122.39399719,37.79349899,-122.39600372
Market St & Drumm St,Market St & Battery St,37.79349899,-122.39600372,37.79109955,-122.39900208
Market St & Battery St,Market St & 2nd St,37.79109955,-122.39900208,37.78939819,-122.40100098
Market St & 2nd St,Market St & Kearny St,37.78939819,-122.40100098,37.78770065,-122.40299988
Market St & Kearny St,Market St & Stockton St,37.78770065,-122.40299988,37.78580093,-122.40599823
Market St & Stockton St,Market St & 5th St,37.78580093,-122.40599823,37.78390121,-122.40799713
Market St & 5th St,Market St & Taylor St,37.78390121,-122.40799713,37.78229904,-122.41000366
Market St & Taylor St,Market St & 7th St,37.78229904,-122.41000366,37.77980042,-122.41300201
Market St & 7th St,Market St & Hyde St,37.77980042,-122.41300201,37.77909851,-122.41400146
Market St & Hyde St,Market St & Larkin St,37.77909851,-122.41400146,37.77759933,-122.41600037
Market St & Larkin St,Market St & Van Ness Ave,37.77759933,-122.41600037,37.77519989,-122.41899872
Market St & Van Ness Ave,Market St & Gough St,37.77519989,-122.41899872,37.77330017,-122.42199707
Market St & Gough St,Market St & Laguna St,37.77330017,-122.42199707,37.77099991,-122.42500305
Market St & Laguna St,Market St & Buchanan St,37.77099991,-122.42500305,37.76979828,-122.42600250
Market St & Buchanan St,Market St & Church St,37.76979828,-122.42600250,37.76770020,-122.42900085
Market St & Church St,Market St & Sanchez St,37.76770020,-122.42900085,37.76620102,-122.43099976
Market St & Sanchez St,Market St & Noe St,37.76620102,-122.43099976,37.76449966,-122.43299866
Market St & Noe St,17th St & Castro St,37.76449966,-122.43299866,37.76259995,-122.43499756
San Jose Ave & Geneva Ave,San Jose Ave & Ocean Ave,37.72119904,-122.44599915,37.72309875,-122.44499969
San Jose Ave & Ocean Ave,San Jose Ave & Santa Ynez Ave,37.72309875,-122.44499969,37.72589874,-122.44200134
