Route_id,Route_name,stop_name_from,id_from,stop_name_to,id_tp
1, F Market & Wharves,17th St & Castro,13311,Market St & Noe St,15687
1, F Market & Wharves,Market St & Noe St,15687,Market St & Sanchez St,15691
1, F Market & Wharves,Market St & Sanchez St,15691,Market St & Church St,15662
1, F Market & Wharves,Market St & Church St,15662,Market St & Dolores St,15668
1, F Market & Wharves,Market St & Dolores St,15668,Market St & Guerrero St  ,15675
1, F Market & Wharves,Market St & Guerrero St,15675,Market St & Gough St ,15673
1, F Market & Wharves,Market St & Gough St ,15673,Market St & South Van Ness Ave ,15692
1, F Market & Wharves,Market St & South Van Ness Ave ,15692,Market St & 9th St,15652
1, F Market & Wharves,Market St & 9th St,15652,Market St & 8th St,15651
1, F Market & Wharves,Market St & 8th St,15651,Market St & 7th St,15650
1, F Market & Wharves,Market St & 7th St,15650,Market St & 6th St,15647
1, F Market & Wharves,Market St & 6th St,15647,Market St & 5th St,15645
1, F Market & Wharves,Market St & 5th St,15645,Market St & 4th St,15643
1, F Market & Wharves,Market St & 4th St,15643,Market St & 3rd St,15640
1, F Market & Wharves,Market St & 3rd St,15640,Market St & New Montgomery St ,15685
1, F Market & Wharves,Market St & New Montgomery St ,15685,Market St & 1st St ,17264
1, F Market & Wharves,Market St & 1st St ,17264,Market St & Main St ,15682
1, F Market & Wharves,Market St & Main St ,15682,Don Chee Way & Steuart St ,14727
1, F Market & Wharves,Don Chee Way & Steuart St ,14727,The Embarcadero/Ferry Bldg ,14513
1, F Market & Wharves,The Embarcadero/Ferry Bldg ,14513,The Embarcadero & Washington St ,14532
1, F Market & Wharves,The Embarcadero & Washington St ,14532,The Embarcadero & Broadway ,14503
1, F Market & Wharves,The Embarcadero & Broadway ,14503,The Embarcadero & Green St,14517
1, F Market & Wharves,The Embarcadero & Green St,14517,The Embarcadero & Greenwich St,14515
1, F Market & Wharves,The Embarcadero & Greenwich St,14515,The Embarcadero & Sansome St ,17281
1, F Market & Wharves,The Embarcadero & Sansome St,17281,The Embarcadero & Bay St  ,14501
1, F Market & Wharves,The Embarcadero & Bay St,14501,The Embarcadero & Stockton St (Pier 39),14530
1, F Market & Wharves,The Embarcadero & Stockton St (Pier 39),14530,Jefferson St & Powell St ,15174
1, F Market & Wharves,Jefferson St & Powell St,15174,Jefferson St & Taylor St  ,15175
1, F Market & Wharves,Jefferson St & Taylor St,15175,Jones St & Beach St,15184
1, F Market & Wharves,Jones St & Beach St,15184,Beach St & Mason St,13092
1, F Market & Wharves,Beach St & Mason St,13092,Beach St & Stockton St,13095
1, F Market & Wharves,Beach St & Stockton St,13095,The Embarcadero & Bay St  ,14502
1, F Market & Wharves,The Embarcadero & Bay St  ,14502,The Embarcadero & Sansome St ,14529
1, F Market & Wharves,The Embarcadero & Sansome St ,14529,The Embarcadero & Greenwich St,14516
1, F Market & Wharves,The Embarcadero & Greenwich St,14516,The Embarcadero & Green St,14518
1, F Market & Wharves,The Embarcadero & Green St,14518,The Embarcadero & Broadway ,14504
1, F Market & Wharves,The Embarcadero & Broadway ,14504,The Embarcadero & Washington St ,14534
1, F Market & Wharves,The Embarcadero & Washington St ,14534,The Embarcadero/Ferry Bldg,17283
1, F Market & Wharves,The Embarcadero/Ferry Bldg,17283,Don Chee Way & Steuart St,14726
1, F Market & Wharves,Don Chee Way & Steuart St,14726,Market St & Drumm St,15669
1, F Market & Wharves,Market St & Drumm St,15669,Market St & Battery St,15657
1, F Market & Wharves,Market St & Battery St,15657,Market St & 2nd St,15639
1, F Market & Wharves,Market St & 2nd St,15639,Market St & Kearny St,15678
1, F Market & Wharves,Market St & Kearny St,15678,Market St & Stockton St,15694
1, F Market & Wharves,Market St & Stockton St,15694,Market St & 5th St,15655
1, F Market & Wharves,Market St & 5th St,15655,Market St & Taylor St,15695
1, F Market & Wharves,Market St & Taylor St,15695,Market St & 7th St,15656
