Route_name,Stop_name,Stop_name
 F Market & Wharves,Market St & Noe St,17th St & Castro St
 F Market & Wharves,Market St & Sanchez St,Market St & Noe St
 F Market & Wharves,Market St & Church St,Market St & Sanchez St
 F Market & Wharves,Market St & Dolores St,Market St & Church St
 F Market & Wharves,Market St & Guerrero St,Market St & Dolores St
 F Market & Wharves,Market St & Gough St,Market St & Guerrero St
 F Market & Wharves,Market St & South Van Ness Ave,Market St & Gough St
 F Market & Wharves,Market St & 9th St,Market St & South Van Ness Ave
 F Market & Wharves,Market St & 8th St,Market St & 9th St
 F Market & Wharves,Market St & 7th St,Market St & 8th St
 F Market & Wharves,Market St & 6th St,Market St & 7th St
 F Market & Wharves,Market St & 5th St,Market St & 6th St
 F Market & Wharves,Market St & 4th St,Market St & 5th St
 F Market & Wharves,Market St & 3rd St,Market St & 4th St
 F Market & Wharves,Market St & New Montgomery St,Market St & 3rd St
 F Market & Wharves,Market St & 1st St,Market St & New Montgomery St
 F Market & Wharves,Market St & Main St,Market St & 1st St
 F Market & Wharves,Don Chee Way/Steuart St,Market St & Main St
 F Market & Wharves,The Embarcadero & Ferry Building,Don Chee Way/Steuart St
 F Market & Wharves,The Embarcadero & Washington St,The Embarcadero & Ferry Building
 F Market & Wharves,The Embarcadero & Broadway,The Embarcadero & Washington St
 F Market & Wharves,The Embarcadero & Green St,The Embarcadero & Broadway
 F Market & Wharves,The Embarcadero & Greenwich St,The Embarcadero & Green St
 F Market & Wharves,Embarcadero & Sansome St,The Embarcadero & Greenwich St
 F Market & Wharves,The Embarcadero & Bay St,The Embarcadero & Sansome St
 F Market & Wharves,The Embarcadero & Stockton St,The Embarcadero & Bay St
 F Market & Wharves,Jefferson St & Powell St,The Embarcadero & Stockton St
 F Market & Wharves,Jefferson St & Taylor St,Jefferson St & Powell St
 F Market & Wharves,Jones St & Beach St,Jefferson St & Taylor St
 F Market & Wharves,Beach St & Mason St,Jones St & Beach St
 F Market & Wharves,Beach St & Stockton St,Beach St & Mason St
 F Market & Wharves,The Embarcadero & Bay St,Beach St & Stockton St
 F Market & Wharves,The Embarcadero & Sansome St,The Embarcadero & Bay St
 F Market & Wharves,The Embarcadero & Greenwich St,The Embarcadero & Sansome St
 F Market & Wharves,The Embarcadero & Green St,The Embarcadero & Greenwich St
 F Market & Wharves,The Embarcadero & Broadway,The Embarcadero & Green St
 F Market & Wharves,The Embarcadero & Washington St,The Embarcadero & Broadway
 F Market & Wharves,The Embarcadero & Ferry Building,The Embarcadero & Washington St
 F Market & Wharves,Don Chee Way/Steuart St,The Embarcadero & Ferry Building
 F Market & Wharves,Market St & Drumm St,Don Chee Way/Steuart St
 F Market & Wharves,Market St & Battery St,Market St & Drumm St
 F Market & Wharves,Market St & 2nd St,Market St & Battery St
 F Market & Wharves,Market St & Kearny St,Market St & 2nd St
 F Market & Wharves,Market St & Stockton St,Market St & Kearny St
 F Market & Wharves,Market St & 5th  St,Market St & Stockton St
 F Market & Wharves,Market St & Taylor St,Market St & 5th  St
 F Market & Wharves,Market St & 7th St,Market St & Taylor St
 F Market & Wharves,Market St & Hyde St,Market St & 7th St
 F Market & Wharves,Market St & Larkin St,Market St & Hyde St
 F Market & Wharves,Market St & Van Ness Ave,Market St & Larkin St
 F Market & Wharves,Market St & Gough St,Market St & Van Ness Ave
 F Market & Wharves,Market St & Laguna St,Market St & Gough St
 F Market & Wharves,Market St & Buchanan St,Market St & Laguna St
 F Market & Wharves,Market St & Church St,Market St & Buchanan St
 F Market & Wharves,Market St & Sanchez St,Market St & Church St
 F Market & Wharves,Market St & Noe St,Market St & Sanchez St
 F Market & Wharves,17th St & Castro St,Market St & Noe St
J Church,San Jose Ave & Ocean Ave,San Jose Ave & Geneva Ave
J Church,San Jose Ave & Santa Ynez Ave,San Jose Ave & Ocean Ave
J Church,San Jose Ave & Santa Rosa Ave,San Jose Ave & Santa Ynez Ave
J Church,San Jose Ave/Glen Park Station,San Jose Ave & Santa Rosa Ave
