Stop_name, stop_Long, stop_Lat
Hudson Ave & Cashmere St, 37.736, -122.384
Hudson Ave & Ingalls St, 37.7325, -122.38
Hudson Ave & Keith St, 37.7377, -122.384
Hudson Ave & Mendell St, 37.739, -122.386
Hudson Ave & Whitney Young Cir, 37.7333, -122.382
Hyde St & Bay St, 37.8048, -122.42
Hyde St & Broadway, 37.7965, -122.419
Hyde St & Beach St, 37.8067, -122.421
Hyde St & California St, 37.7911, -122.417
Hyde St & Chestnut St, 37.8028, -122.42
Hyde St & Clay St, 37.7929, -122.418
Hyde St & Filbert St, 37.8002, -122.419
Hyde St & Grove St, 37.7793, -122.415
Hyde St & Greenwich St, 37.801, -122.419
Hyde St & Green St, 37.7983, -122.419
Hyde St & Jackson St, 37.7945, -122.418
Hyde St & Lombard St, 37.8019, -122.42
Hyde St & Mcallister St, 37.7808, -122.415
Hyde St & North Point St, 37.8056, -122.42
Hyde St & Pacific Ave, 37.7954, -122.418
Hyde St & Pine St, 37.7902, -122.417
Hyde St & Turk St, 37.7826, -122.416
Hyde St & Union St, 37.7992, -122.419
Hyde St & Vallejo St, 37.7974, -122.419
Industrial St & Bay Shore Blvd, 37.7381, -122.407
Industrial St & Elmira St, 37.7388, -122.404
Industrial St & Palou Ave, 37.7396, -122.401
Industrial St & Revere Ave, 37.7391, -122.403
Innes Ave & Earl St, 37.7299, -122.372
Innes Ave & Arelious Walker Dr, 37.7309, -122.374
Innes Ave & Fitch St, 37.7309, -122.374
Innes Ave & Griffith St, 37.732, -122.376
Innes Ave & Hunters Point Blvd, 37.7329, -122.377
Ingalls St & Beatrice Ln, 37.7306, -122.38
Ingalls St & Harbor Rd, 37.7335, -122.38
Ingalls St & Revere Ave, 37.7284, -122.385
Ingalls St & Thomas Ave, 37.7273, -122.386
Ingalls St & Van Dyke Ave, 37.726, -122.387
Ingerson Ave & Griffith St, 37.717, -122.389
Ingerson Ave & Hawes St, 37.718, -122.391
Irving St & 2nd Ave, 37.7644, -122.459
Irving St & Arguello Blvd, 37.7644, -122.458
515 John Muir Dr, 37.7162, -122.495
655 John Muir Ave, 37.717, -122.498
John Muir Dr & Skyline Blvd, 37.719, -122.5
Junipero Serra Blvd & Brotherhood Way, 37.7136, -122.471
Junipero Serra Blvd / S.F. Golf Club, 37.7107, -122.471
Junipero Serra Blvd & Font Blvd, 37.7146, -122.472
Junipero Serra Blvd & Ocean Ave, 37.7314, -122.472
Junipero Serra Blvd & Palmetto Av, 37.7109, -122.471
Junipero Serra Blvd & Sloat Blvd, 37.7343, -122.472
Jackson St & Divisadero St, 37.7917, -122.441
Jackson St & Fillmore St, 37.7925, -122.435
Jackson St & Hyde St, 37.7946, -122.418
Jackson St & Jones St, 37.795, -122.415
Jackson St & Leavenworth St, 37.7949, -122.416
Jackson St & Mason St, 37.7954, -122.412
Jackson St & Polk St, 37.7942, -122.421
Jackson St & Scott St, 37.7919, -122.439
Jackson St & Steiner St, 37.7924, -122.436
Jackson St & Taylor St, 37.7953, -122.413
Jackson St & Van Ness Ave, 37.794, -122.423
Jackson St & Webster St, 37.7927, -122.433
Juan Bautista Cir & Font Blvd, 37.7187, -122.478
Judson Ave & Gennessee St, 37.7284, -122.451
Jefferson St & Divisadero St, 37.8046, -122.444
Jefferson St & Powell St, 37.8086, -122.413
Jefferson St & Taylor St, 37.8083, -122.416
Jones St & Beach St, 37.8071, -122.417
Jones St & Geary St, 37.7869, -122.413
Jones St & Post St, 37.7878, -122.413
Jones St & Sutter St, 37.7887, -122.414
Judah St & 5th Ave, 37.7623, -122.462
Judah St & 6th Ave, 37.7624, -122.463
Judah St & 7th Ave, 37.7623, -122.464
Judah St & 9th Ave, 37.7622, -122.467
